"log_tipo_logradouro", "logradouro", "bairro", "cidade", "uf", "cep"
"Rua", "Aidê Josefa Andrade Diacov", "Residencial Bosque dos Ipês", "São José dos Campos", "SP", "12236891"
"Rua", "Aimbire", "Jardim das Indústrias", "São José dos Campos", "SP", "12240171"
"Rua", "Aimorés", "Vila Jaci", "São José dos Campos", "SP", "12211410"
"Rua", "Aiquara", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238210"
"Rua", "Aires", "Jardim Satélite", "São José dos Campos", "SP", "12230210"
"Rua", "Airto Pelogia", "Conjunto Residencial Galo Branco", "São José dos Campos", "SP", "12247551"
"Rua", "Akira Takuchi", "Jardim Oriente", "São José dos Campos", "SP", "12236271"
"Rua", "Alabastro", "Jardim São José Centro", "São José dos Campos", "SP", "12216260"
"Rua", "Alagoas", "Vila São Pedro", "São José dos Campos", "SP", "12216420"
"Rua", "Alagoinhas", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238020"
"Rua", "Alaide Cursino dos Santos", "Residencial União", "São José dos Campos", "SP", "12239049"
"Rua", "Alasca", "Cidade Vista Verde", "São José dos Campos", "SP", "12223230"
"Rua", "Albenzio Romancini", "Residencial Jatobá", "São José dos Campos", "SP", "12228183"
"Rua", "Albenzio Romancini", "Jardim Santa Inês III", "São José dos Campos", "SP", "12248255"
"Rua", "Albert Sabin", "Parque Nova Esperança", "São José dos Campos", "SP", "12226201"
"Viela", "Albertina Constância Trindade", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228008"
"Rua", "Albertina Pereira Lima", "Campo dos Alemães", "São José dos Campos", "SP", "12239740"
"Rua", "Albertino de Almeida", "Vila Industrial", "São José dos Campos", "SP", "12220480"
"Rua", "Alberto Alves Aguiar", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233010"
"Praça", "Alberto Blanco de Oliveira", "Residencial Ana Maria", "São José dos Campos", "SP", "12224828"
"Rua", "Alberto Coltro", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228009"
"Rua", "Alberto Consiglio", "Centro", "São José dos Campos", "SP", "12209590"
"Rua", "Alberto Pinto Ferreira", "Parque dos Ipês", "São José dos Campos", "SP", "12236858"
"Rua", "Alberto Renart", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248240"
"Rua", "Alberto da Silva Ramos", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233840"
"Rua", "Alberto de Moraes Bittencourt Simões", "Jardim Limoeiro", "São José dos Campos", "SP", "12241450"
"Rua", "Albino dos Anjos Conrado", "Urbanova", "São José dos Campos", "SP", "12244850"
"Rua", "Albânia", "Vila Nair", "São José dos Campos", "SP", "12231310"
"Rua", "Alceu Andrade", "Jardim Mariana II", "São José dos Campos", "SP", "12226883"
"Rua", "Alcides Barbosa", "Jardim América", "São José dos Campos", "SP", "12235371"
"Rua", "Alcides Franco Rodrigues", "Conjunto Residencial Intervale", "São José dos Campos", "SP", "12220111"
"Rua", "Alcides Moreira de Paula", "Jardim República", "São José dos Campos", "SP", "12234828"
"Rua", "Alcides Pereira Lia", "Conjunto Residencial Esplanada do Sol", "São José dos Campos", "SP", "12244720"
"Rua", "Alcides Salgado", "Campos de São José", "São José dos Campos", "SP", "12226721"
"Rua", "Alcides Turci", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232640"
"Rua", "Alcidia Dias Pedrosa", "Campo dos Alemães", "São José dos Campos", "SP", "12239190"
"Rua", "Alcidia Medeiros Ragazzini", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224610"
"Rua", "Alcindo de Marchi", "Jardim Paulista", "São José dos Campos", "SP", "12216131"
"Rua", "Alcocaba", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238200"
"Rua", "Aldebaram", "Jardim Satélite", "São José dos Campos", "SP", "12230400"
"Rua", "Aldo José Souza Silva", "Residencial Tatetuba", "São José dos Campos", "SP", "12220120"
"Rua", "Aldo Madureira", "Jardim Paraíso do Sol", "São José dos Campos", "SP", "12225140"
"Rua", "Aldo Moreira dos Santos", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228305"
"Praça", "Aldo Pires", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237110"
"Rua", "Alencar dos Santos", "Campo dos Alemães", "São José dos Campos", "SP", "12239340"
"Rua", "Alenquer", "Parque Industrial", "São José dos Campos", "SP", "12235800"
"Rua", "Alex Daniel de Souza", "Jardim Santa Rosa", "São José dos Campos", "SP", "12228890"
"Avenida", "Alex Fernandes da Silva", "Urbanova", "São José dos Campos", "SP", "12244878"
"Praça", "Alexandra Diacov", "Jardim Nova América", "São José dos Campos", "SP", "12242281"
"Rua", "Alexandre Carlos Rennó", "Vila das Flores", "São José dos Campos", "SP", "12234752"
"Praça", "Alexandre Magno", "Jardim Oriente", "São José dos Campos", "SP", "12236190"
"Rua", "Alexandre Porfírio da Silva", "Parque Residencial Flamboyant", "São José dos Campos", "SP", "12227789"
"Rua", "Alexandre Teodoro Eras", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229370"
"Rua", "Alexandrina Maria da Conceição", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224670"
"Rua", "Alexandrino José de Souza", "Santana", "São José dos Campos", "SP", "12211310"
"Rua", "Alexandrino Machado", "Jardim São Leopoldo", "São José dos Campos", "SP", "12228181"
"Rua", "Alfem Pereira Junqueira", "Vila Ester", "São José dos Campos", "SP", "12221630"
"Avenida", "Alfonso Friggi", "Urbanova", "São José dos Campos", "SP", "12244880"
"Rua", "Alfredo Coslop", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12232090"
"Avenida", "Alfredo Ignácio Nogueira Penido", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246000"
"Travessa", "Alfredo José Dias Costa", "Vila Maria", "São José dos Campos", "SP", "12209230"
"Rua", "Alfredo Nobel", "Jardim Oriente", "São José dos Campos", "SP", "12236010"
"Rua", "Alfredo Pereira Filho", "Vila Industrial", "São José dos Campos", "SP", "12220520"
"Rua", "Alfredo da Rocha Viana", "Vila Ester", "São José dos Campos", "SP", "12221720"
"Rua", "Algodoeiro", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226760"
"Rua", "Alice Arbex", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232650"
"Rua", "Alice Nogueira Machado", "Jardim Minas Gerais", "São José dos Campos", "SP", "12213251"
"Rua", "Aline Lelis da Silva", "Conjunto Residencial Nosso Teto", "São José dos Campos", "SP", "12228255"
"Rua", "Aline Mara Barbosa da Silva", "Conjunto Residencial Nosso Teto", "São José dos Campos", "SP", "12228253"
"Rua", "Almadina", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238050"
"Rua", "Almenara", "Vila Paiva", "São José dos Campos", "SP", "12213440"
"Rua", "Almir Arnaldo de Alencar", "Jardim República", "São José dos Campos", "SP", "12234836"
"Rua", "Almir Oliveira Vicente", "Vila das Flores", "São José dos Campos", "SP", "12234780"
"Rua", "Almirante Barroso", "Jardim Imperial", "São José dos Campos", "SP", "12234020"
"Rua", "Altair", "Jardim Satélite", "São José dos Campos", "SP", "12230230"
"Praça", "Altamira", "Palmeiras de São José", "São José dos Campos", "SP", "12237851"
"Rua", "Altani Lara Nogueira", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232780"
"Rua", "Alteia", "Jardim Ismênia", "São José dos Campos", "SP", "12221100"
"Rua", "Alto da Boa Vista", "Jardim Altos de Santana", "São José dos Campos", "SP", "12214150"
"Rua", "Alto do Araguaia", "Jardim Altos de Santana", "São José dos Campos", "SP", "12214330"
"Avenida", "Alto do Rio Doce", "Jardim Altos de Santana", "São José dos Campos", "SP", "12214010"
"Condomínio Residencial", "Altos da Quinta", "Torrão de Ouro II", "São José dos Campos", "SP", "12229844"
"Praça", "Alvorada", "Jardim Alvorada", "São José dos Campos", "SP", "12240652"
"Rua", "Alzirio Lebrão", "Alto da Ponte", "São José dos Campos", "SP", "12212500"
"Rua", "Alziro Claro de Oliveira", "Parque dos Ipês", "São José dos Campos", "SP", "12236856"
"Rua", "Alípio Alves de Aguiar", "Residencial Altos do Bosque", "São José dos Campos", "SP", "12239860"
"Rua", "Alípio Ferreira Lourenço", "Jardim Portugal", "São José dos Campos", "SP", "12232210"
"Rua", "Alípio da Silva Viana", "Centro", "São José dos Campos", "SP", "12209560"
"Rua", "Amado Conceição Silva Rosário", "Jardim dos Bandeirantes", "São José dos Campos", "SP", "12234793"
"Rua", "Amado Ribeiro de Miranda", "Jardim Rodolfo", "São José dos Campos", "SP", "12224832"
"Rua", "Amanda Gabrielle Friggi", "Jardim Nova República", "São José dos Campos", "SP", "12234858"
"Rua", "Amaranto", "Monte Castelo", "São José dos Campos", "SP", "12215470"
"Rua", "Amargosa", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238070"
"Rua", "Amauri de Oliveira", "Jardim Limoeiro", "São José dos Campos", "SP", "12241370"
"Rua", "Ambrósio Molina", "Eugênio de Mello", "São José dos Campos", "SP", "12247000"
"Praça", "America Pinto de Andrade", "Jardim Paulista", "São José dos Campos", "SP", "12216210"
"Rua", "Ametista", "Jardim São José Centro", "São José dos Campos", "SP", "12216270"
"Rua", "Amin Assad", "Jardim São Dimas", "São José dos Campos", "SP", "12245411"
"Rua", "Amparo", "Jardim Apolo I", "São José dos Campos", "SP", "12243120"
"Rua", "Amsterdan", "Vila Nair", "São José dos Campos", "SP", "12231290"
"Rua", "Amâncio Bráulio de Melo", "Jardim Boa Vista", "São José dos Campos", "SP", "12213650"
"Rua", "Amâncio Mazzaropi", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12232340"
"Rua", "Amélia Maria da Conceição", "Jardim Cruzeiro do Sul", "São José dos Campos", "SP", "12234810"
"Rua", "Américo Filipe de Azevedo", "Jardim Santa Luzia", "São José dos Campos", "SP", "12228857"
"Rua", "Américo de Souza", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233800"
"Rua", "Ana Angélica de Oliveira", "Buquirinha", "São José dos Campos", "SP", "12213810"
"Rua", "Ana Auxiliadora Machado de Almeida", "Residencial Interlagos", "São José dos Campos", "SP", "12229073"
"Praça", "Ana Berling Macedo", "Monte Castelo", "São José dos Campos", "SP", "12215530"
"Rua", "Ana Bonadio", "Centro", "São José dos Campos", "SP", "12209580"
"Rua", "Ana Elisabete Martinelli Godinho", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229003"
"Rua", "Ana Eufrásia", "Jardim Bela Vista", "São José dos Campos", "SP", "12209071"
"Rua", "Ana Giselle Ramos Lima", "Residencial Bosque dos Ipês", "São José dos Campos", "SP", "12236878"
"Rua", "Ana Gonçalves da Cunha", "Monte Castelo", "São José dos Campos", "SP", "12215390"
"Rua", "Ana Lúcia Cherubini e Silva", "Jardim Santa Luzia", "São José dos Campos", "SP", "12228860"
"Rua", "Ana Marcondes Costa", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247826"
"Rua", "Ana Maria Dias", "Campo dos Alemães", "São José dos Campos", "SP", "12239480"
"Rua", "Ana Maria Nardo Silva", "Jardim Esplanada", "São José dos Campos", "SP", "12242410"
"Rua", "Ana Maria Prianti Aidar", "Urbanova", "São José dos Campos", "SP", "12244518"
"Rua", "Ana Maria da Silva Katayama", "Conjunto Papa João Paulo II", "São José dos Campos", "SP", "12232415"
"Rua", "Ana Maria de Jesus Lúcio", "Jardim Santa Rosa", "São José dos Campos", "SP", "12228884"
"Rua", "Ana Moreira de Oliveira", "Parque Nova Esperança", "São José dos Campos", "SP", "12226120"
"Rua", "Ana Paula Nunes Dutra", "Campos de São José", "São José dos Campos", "SP", "12226711"
"Rua", "Ana Ribeiro dos Santos", "Urbanova", "São José dos Campos", "SP", "12244455"
"Rua", "Ana Rosa", "Jardim Bela Vista", "São José dos Campos", "SP", "12209050"
"Rua", "Ana Rosa de Almeida Carvalho", "Urbanova", "São José dos Campos", "SP", "12244514"
"Rua", "Ana Soares da Silveira", "Urbanova", "São José dos Campos", "SP", "12244517"
"Avenida", "Ana de Avelar Brandão", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232840"
"Rua", "Anacleto Deolindo Liberato", "Jardim Colonial", "São José dos Campos", "SP", "12234300"
"Rua", "Anacleto Veneziani", "Jardim Telespark", "São José dos Campos", "SP", "12212670"
"Rua", "Anage", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238060"
"Rua", "Ananias Cândido de Lima", "Parque Interlagos", "São José dos Campos", "SP", "12229832"
"Praça", "Anchieta", "Santana", "São José dos Campos", "SP", "12211650"
"Avenida", "Anchieta", "Jardim Nova América", "São José dos Campos", "SP", "12242280"
"Rua", "Andaraí", "Jardim Satélite", "São José dos Campos", "SP", "12230290"
"Rua", "Andirá", "Jardim das Indústrias", "São José dos Campos", "SP", "12240781"
"Rua", "Andorra", "Jardim América", "São José dos Campos", "SP", "12235050"
"Rua", "Andradina", "Jardim das Indústrias", "São José dos Campos", "SP", "12240280"
"Praça", "Andrelina Barbosa de Moura", "Parque Martim Cecerê", "São José dos Campos", "SP", "12227770"
"Rua", "Andrelândia", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233597"
"Rua", "Andreza Batista dos Santos", "Campo dos Alemães", "São José dos Campos", "SP", "12239731"
"Rua", "André Lourenço Loubet", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224640"
"Rua", "André Plusplatais", "Jardim Estoril", "São José dos Campos", "SP", "12232045"
"Rua", "Andréa Fabiano de Carvalho", "Campo dos Alemães", "São José dos Campos", "SP", "12239160"
"Avenida", "Andrômeda", "Jardim Satélite", "São José dos Campos", "SP", "12230001"
"Avenida", "Andrômeda", "Jardim Satélite", "São José dos Campos", "SP", "12230000"
"Avenida", "Andrômeda", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233001"
"Avenida", "Andrômeda", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233000"
"Rua", "Anesia Pedrosa Púpio", "Residencial Jatobá", "São José dos Campos", "SP", "12228128"
"Rua", "Angelina Borgo Gregório", "Jardim Pararangaba", "São José dos Campos", "SP", "12224788"
"Rua", "Angelina de Souza Machado", "Jardim Mariana I", "São José dos Campos", "SP", "12226853"
"Rua", "Angelino de Jesus Rosa", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237480"
"Rua", "Angelo Dias da Costa", "Loteamento Santa Edwiges", "São José dos Campos", "SP", "12234841"
"Rua", "Angical", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238110"
"Rua", "Angélica de Barros Porto", "Jardim Itapoã", "São José dos Campos", "SP", "12247330"
"Rua", "Anibal Gallo Delella", "Campo dos Alemães", "São José dos Campos", "SP", "12239600"
"Alameda", "Aninga", "Condomínio Espelho D'água", "São José dos Campos", "SP", "12213537"
"Rua", "Anis", "Jardim Ismênia", "São José dos Campos", "SP", "12221120"
"Rua", "Anita Ferreira Lazarini", "Jardim Castanheira", "São José dos Campos", "SP", "12225291"
"Rua", "Anna Benedicta Dias Pedrosa", "Parque Interlagos", "São José dos Campos", "SP", "12229829"
"Rua", "Anna Carolina Santos", "Cidade Morumbi", "São José dos Campos", "SP", "12236825"
"Rua", "Anna Ortega Traballi", "Vila São Geraldo", "São José dos Campos", "SP", "12213215"
"Rua", "Anna Rosa de Moraes", "Jardim Pararangaba", "São José dos Campos", "SP", "12224781"
"Rua", "Anna de Paula Figueiredo", "Cidade Vista Verde", "São José dos Campos", "SP", "12223570"
"Rua", "Annibal Lopes Simões", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229280"
"Estrada", "Anor Rodrigues Ramalho", "Buquirinha", "São José dos Campos", "SP", "12213843"
"Rua", "Anselmo Carnevalli", "Alto da Ponte", "São José dos Campos", "SP", "12212610"
"Rua", "Antares", "Jardim Satélite", "São José dos Campos", "SP", "12230250"
"Rua", "Antenor Nascimento", "Monte Castelo", "São José dos Campos", "SP", "12215150"
"Rua", "Antenor Paglione", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229360"
"Rua", "Antenor Raimundo da Silva", "Urbanova", "São José dos Campos", "SP", "12244525"
"Rua", "Antenor Teodoro de Azevedo", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12232400"
"Rua", "Antenor da Silva Maia", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237680"
"Rua", "Antero Cursino dos Santos", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224510"
"Rua", "Antero Madureira", "Vila Zizinha", "São José dos Campos", "SP", "12211010"
"Praça", "Antilhas", "Vila Rubi", "São José dos Campos", "SP", "12245571"
"Rua", "Antoinette Melhem El Khouri Nicolas", "Jardim Mariana I", "São José dos Campos", "SP", "12226852"
"Rua", "Antonia Monteiro Afonso Reichelant", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246051"
"Avenida", "Antonia Natalia Campos de Assis", "Vila das Flores", "São José dos Campos", "SP", "12234750"
"Rua", "Antonio Alves Magalhães", "Urbanova", "São José dos Campos", "SP", "12244855"
"Rua", "Antonio Amaral Santos", "Residencial Jatobá", "São José dos Campos", "SP", "12228176"
"Rua", "Antonio Carlos Pupo de Oliveira", "Vila Adriana", "São José dos Campos", "SP", "12228847"
"Rua", "Antonio Carlos de Souza", "Vila Adriana", "São José dos Campos", "SP", "12228849"
"Estrada", "Antonio Ferreira Silva", "Costinha", "São José dos Campos", "SP", "12214610"
"Rua", "Antonio Galdino dos Santos Filho", "Centro", "São José dos Campos", "SP", "12209525"
"Rua", "Antonio Germano dos Santos", "Jardim Santa Luzia", "São José dos Campos", "SP", "12228867"
"Rua", "Antonio Hernandes Gomes", "Urbanova", "São José dos Campos", "SP", "12244870"
"Rua", "Antonio Maia Filho", "Jardim Sul", "São José dos Campos", "SP", "12236492"
"Rua", "Antonio Marcos de Oliveira", "Jardim Mariana II", "São José dos Campos", "SP", "12226870"
"Rua", "Antonio Morera Fuentes", "Residencial Altos do Bosque", "São José dos Campos", "SP", "12239855"
"Rua", "Antonio Nunes Machado", "Cidade Vista Verde", "São José dos Campos", "SP", "12223480"
"Rua", "Antonio Pereira de Souza", "Residencial Altos do Bosque", "São José dos Campos", "SP", "12239843"
"Rua", "Antonio Ribeiro Lopes", "Residencial Dom Bosco", "São José dos Campos", "SP", "12225878"
"Rua", "Antonio Ribeiro de Almeida", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232670"
"Rua", "Antonio Rodrigues Junior", "Condomínio Sunset Park", "São José dos Campos", "SP", "12246009"
"Rua", "Antonio Rodrigues Vieira", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232711"
"Rua", "Antonio Vaz Santoro", "Residencial Altos do Bosque", "São José dos Campos", "SP", "12239853"
"Avenida", "Antonio Widmer", "Urbanova", "São José dos Campos", "SP", "12244873"
"Rua", "Antoun Melhen El Kouri", "Jardim Santa Inês II", "São José dos Campos", "SP", "12248170"
"Rua", "Antônia Rosa Batista", "Condomínio Chácara Serimbura", "São José dos Campos", "SP", "12244013"
"Rua", "Antônio Aleixo da Silva", "Jardim Satélite", "São José dos Campos", "SP", "12231650"
"Rua", "Antônio Alves", "Jardim Portugal", "São José dos Campos", "SP", "12232220"
"Rua", "Antônio Augusto Carvalho Santos Pinto", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237620"
"Rua", "Antônio Aurélio Monteiro de Barros", "Campos de São José", "São José dos Campos", "SP", "12226460"
"Rua", "Antônio Barbosa de Oliveira", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248360"
"Rua", "Antônio Bernardo Hemkemeir", "Campos de São José", "São José dos Campos", "SP", "12226490"
"Rua", "Antônio Boarini", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229130"
"Rua", "Antônio Campos Mello", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233040"
"Rua", "Antônio Cara", "Jardim das Colinas", "São José dos Campos", "SP", "12242221"
"Rua", "Antônio Carlos Machado", "Residencial União", "São José dos Campos", "SP", "12239011"
"Rua", "Antônio Chrispim Machado", "Jardim Oriente", "São José dos Campos", "SP", "12236350"
"Rua", "Antônio Constantino", "Jardim Satélite", "São José dos Campos", "SP", "12231680"
"Travessa", "Antônio Correia Arantes", "Residencial Planalto", "São José dos Campos", "SP", "12220041"
"Rua", "Antônio Costa Rosendo", "Jardim Paulista", "São José dos Campos", "SP", "12216060"
"Rua", "Antônio Cunha", "Residencial São Francisco", "São José dos Campos", "SP", "12227859"
"Rua", "Antônio Custódio dos Santos", "Residencial Bosque dos Ipês", "São José dos Campos", "SP", "12236885"
"Rua", "Antônio Dias Adorno", "Jardim Esplanada II", "São José dos Campos", "SP", "12242630"
