"log_tipo_logradouro", "logradouro", "bairro", "cidade", "uf", "cep"
"Rua", "Major Manoel Fernandes Netto", "Vila São Geraldo", "São José dos Campos", "SP", "12213270"
"Rua", "Major Manoel Villela Lopes", "Urbanova", "São José dos Campos", "SP", "12244457"
"Avenida", "Major Miguel Naked", "Jardim das Colinas", "São José dos Campos", "SP", "12242051"
"Rua", "Major Vaz", "Vila Adyana", "São José dos Campos", "SP", "12243670"
"Rua", "Malvina Barbosa de Araújo", "Campo dos Alemães", "São José dos Campos", "SP", "12239401"
"Rua", "Malvinas", "Cidade Vista Verde", "São José dos Campos", "SP", "12223350"
"Rua", "Mamede Alves Cardoso", "Jardim das Indústrias", "São José dos Campos", "SP", "12241170"
"Rua", "Mamede Firmino de Morais", "Jardim Olímpia", "São José dos Campos", "SP", "12221290"
"Rua", "Mamude Carneiro", "Campo dos Alemães", "São José dos Campos", "SP", "12239066"
"Rua", "Manabu Mabe", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228011"
"Rua", "Manacá", "Jardim Ismênia", "São José dos Campos", "SP", "12221090"
"Rua", "Manaus", "Vila Terezinha", "São José dos Campos", "SP", "12209705"
"Travessa", "Mangabeira", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12232096"
"Rua", "Manicoré", "Parque Industrial", "São José dos Campos", "SP", "12235730"
"Rua", "Manjericão", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226741"
"Rua", "Manjerona", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226735"
"Rua", "Manoel Alves Cardoso", "Jardim das Indústrias", "São José dos Campos", "SP", "12240170"
"Rua", "Manoel Alves Feitosa", "Loteamento Residencial Vista Linda", "São José dos Campos", "SP", "12220049"
"Rua", "Manoel Antônio dos Santos", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247820"
"Rua", "Manoel Augusto Amaral", "Jardim Imperial", "São José dos Campos", "SP", "12234220"
"Rua", "Manoel Bandeira", "Jardim das Indústrias", "São José dos Campos", "SP", "12240710"
"Avenida", "Manoel Borba Gato", "Jardim Nova América", "São José dos Campos", "SP", "12242270"
"Rua", "Manoel Bosco Ribeiro", "Jardim das Indústrias", "São José dos Campos", "SP", "12241070"
"Rua", "Manoel Corrêa de Oliveira", "Campo dos Alemães", "São José dos Campos", "SP", "12239350"
"Rua", "Manoel Ferreira de Souza", "Jardim Minas Gerais", "São José dos Campos", "SP", "12213267"
"Rua", "Manoel Fiel Filho", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233690"
"Rua", "Manoel Francisco de Moraes", "Jardim Mariana I", "São José dos Campos", "SP", "12226851"
"Rua", "Manoel Freire de Castro", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233110"
"Rua", "Manoel Joaquim de Oliveira", "Monte Castelo", "São José dos Campos", "SP", "12215090"
"Rua", "Manoel José Filho", "Cidade Morumbi", "São José dos Campos", "SP", "12236550"
"Rua", "Manoel Lemes Palmeira", "Santana", "São José dos Campos", "SP", "12211241"
"Rua", "Manoel Mariano", "Jardim Imperial", "São José dos Campos", "SP", "12234240"
"Rua", "Manoel Martins Netto", "Conjunto Residencial Elmano Veloso", "São José dos Campos", "SP", "12234550"
"Rua", "Manoel Meneses Leal", "Conjunto Residencial Galo Branco", "São José dos Campos", "SP", "12247500"
"Rua", "Manoel Miguel Filho", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237770"
"Rua", "Manoel Pio", "Jardim das Indústrias", "São José dos Campos", "SP", "12240730"
"Rua", "Manoel Prianti", "Santana", "São José dos Campos", "SP", "12211720"
"Rua", "Manoel Ramos Machado", "Santana", "São José dos Campos", "SP", "12211810"
"Passarela", "Manoel Ramos Machado", "Santana", "São José dos Campos", "SP", "12212230"
"Rua", "Manoel Ricardo Júnior", "Jardim São Dimas", "São José dos Campos", "SP", "12245061"
"Rua", "Manoel Rodrigues de Moraes", "Santana", "São José dos Campos", "SP", "12211640"
"Rua", "Manoel Rosendo de Oliveira", "Alto da Ponte", "São José dos Campos", "SP", "12212400"
"Rua", "Manoel Saldanha", "Conjunto Residencial Vale dos Pinheiros", "São José dos Campos", "SP", "12242330"
"Rua", "Manoel Senra Delgado", "Cidade Vista Verde", "São José dos Campos", "SP", "12223550"
"Rua", "Manoel Terto de Amorim", "Residencial Bosque dos Ipês", "São José dos Campos", "SP", "12236877"
"Travessa", "Manoel da Nóbrega", "Jardim São Dimas", "São José dos Campos", "SP", "12245112"
"Praça", "Manoel de Abreu", "Centro", "São José dos Campos", "SP", "12245821"
"Rua", "Manoel de Oliveira e Silva", "Vila Cristina", "São José dos Campos", "SP", "12211123"
"Rua", "Manoel de Souza Peixoto", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229270"
"Rua", "Manoel dos Santos Cabral", "Jardim Del Rey", "São José dos Campos", "SP", "12232231"
"Rua", "Manoel Ângelo de Andrade", "Campos de São José", "São José dos Campos", "SP", "12226480"
"Rua", "Mansueto Brandi", "Jardim Castanheira", "São José dos Campos", "SP", "12225330"
"Condomínio Residencial", "Mantiqueira", "Jardim Boa Vista", "São José dos Campos", "SP", "12213712"
"Rua", "Mantura Neme", "Jardim Paraíso do Sol", "São José dos Campos", "SP", "12225200"
"Rua", "Manuel Barbosa de Souza", "Cidade Morumbi", "São José dos Campos", "SP", "12236790"
"Avenida", "Manuel Vieira", "Residencial União", "São José dos Campos", "SP", "12239053"
"Rua", "Mar Del Plata", "Jardim América", "São José dos Campos", "SP", "12235340"
"Rua", "Marabas", "Parque Industrial", "São José dos Campos", "SP", "12235780"
"Rua", "Maracaibo", "Jardim América", "São José dos Campos", "SP", "12235370"
"Travessa", "Maracas", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238250"
"Rua", "Maranduba", "Jardim Satélite", "São José dos Campos", "SP", "12230680"
"Rua", "Maranhão", "Vila São Pedro", "São José dos Campos", "SP", "12215680"
"Rua", "Marcabe", "Jardim Satélite", "São José dos Campos", "SP", "12230580"
"Rua", "Marcelo Carlos Pereira", "Cidade Morumbi", "São José dos Campos", "SP", "12236530"
"Rua", "Marcelo Cordeiro de Oliveira", "Residencial de Ville", "São José dos Campos", "SP", "12237875"
"Rua", "Marcelo Cunha Frahya", "Campo dos Alemães", "São José dos Campos", "SP", "12239380"
"Rua", "Marcelo Manso", "Residencial União", "São José dos Campos", "SP", "12239012"
"Rua", "Marcelo Oliveira Renó", "Residencial União", "São José dos Campos", "SP", "12239004"
"Rua", "Marche", "Jardim das Paineiras I", "São José dos Campos", "SP", "12226091"
"Rua", "Marcilio Dias", "Jardim Esplanada", "São José dos Campos", "SP", "12242731"
"Rua", "Marcilo Alves Felicio", "Vila das Flores", "São José dos Campos", "SP", "12234764"
"Travessa", "Marcinei Francisco Barbosa", "Residencial União", "São José dos Campos", "SP", "12239010"
"Rua", "Marco Antônio dos Santos", "Jardim Satélite", "São José dos Campos", "SP", "12231800"
"Rua", "Marco Polo", "Jardim Oriente", "São José dos Campos", "SP", "12236220"
"Rua", "Marco Túlio Cícero", "Jardim Oriente", "São José dos Campos", "SP", "12236110"
"Rua", "Marcondes Salgado", "Vila Adyana", "São José dos Campos", "SP", "12243820"
"Rua", "Marcos Rogério Deolindo da Silva", "Urbanova", "São José dos Campos", "SP", "12244540"
"Rua", "Marcos Salgado de Araújo", "Urbanova", "São José dos Campos", "SP", "12244360"
"Rua", "Marcos Sattelmayer Aguiar", "Urbanova", "São José dos Campos", "SP", "12244602"
"Rua", "Marcos de Azeredo", "Vila Santa Rita", "São José dos Campos", "SP", "12242283"
"Rua", "Marcílio Benedito Costa", "Jardim Pararangaba", "São José dos Campos", "SP", "12224793"
"Avenida", "Marechal Castelo Branco", "Jardim Bela Vista", "São José dos Campos", "SP", "12209002"
"Rua", "Marechal Deodoro", "Eugênio de Mello", "São José dos Campos", "SP", "12247220"
"Avenida", "Marechal Floriano Peixoto", "Centro", "São José dos Campos", "SP", "12210030"
"Avenida", "Marechal Henrique Teixeira Lott", "Vila Nair", "São José dos Campos", "SP", "12231100"
"Rua", "Marechal Rondon", "Monte Castelo", "São José dos Campos", "SP", "12215070"
"Rua", "Marechal-do-Ar Benjamim Manoel Amarante", "Jardim das Colinas", "São José dos Campos", "SP", "12242071"
"Rodovia", "Marechal-do-Ar Casimiro Montenegro Filho", "Vila São Bento", "São José dos Campos", "SP", "12231590"
"Praça", "Marechal-do-Ar Eduardo Gomes", "Campus do CTA", "São José dos Campos", "SP", "12228615"
"Rua", "Margarida F. dos Santos", "Jardim Satélite", "São José dos Campos", "SP", "12231760"
"Rua", "Margarida Trindade Machado", "Vila Unidos", "São José dos Campos", "SP", "12214503"
"Avenida", "Marginal B", "Jardim América", "São José dos Campos", "SP", "12235311"
"Avenida", "Marginal B", "Vila Nair", "São José dos Campos", "SP", "12231131"
"Avenida", "Marginal B", "Vila São Benedito", "São José dos Campos", "SP", "12227040"
"Avenida", "Maria Adolfina de Almeida Tomaz", "Jardim Paraíso do Sol", "São José dos Campos", "SP", "12225240"
"Rua", "Maria Agda de Jesus", "Parque Nova Esperança", "São José dos Campos", "SP", "12226140"
"Rua", "Maria Alice Pasquarelli", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248400"
"Rua", "Maria Alves Bonfim", "Campos de São José", "São José dos Campos", "SP", "12226560"
"Travessa", "Maria Alves Gonçalves", "Jardim São Leopoldo", "São José dos Campos", "SP", "12228184"
"Viela", "Maria Alves Gonçalves", "Jardim São Leopoldo", "São José dos Campos", "SP", "12228188"
"Rua", "Maria Ambrosina Pedrosa Dias", "Residencial União", "São José dos Campos", "SP", "12239042"
"Rua", "Maria Amélia Nogueira", "Parque Interlagos", "São José dos Campos", "SP", "12229440"
"Rua", "Maria Amélia de Oliveira", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228007"
"Rua", "Maria Angélia Monteiro Rodrigues", "Jardim Mariana II", "São José dos Campos", "SP", "12226878"
"Rua", "Maria Antonio Rosin", "Condomínio Residencial Jardins", "São José dos Campos", "SP", "12231817"
"Rua", "Maria Aparecida Azevedo", "Jardim Imperial", "São José dos Campos", "SP", "12234051"
"Rua", "Maria Aparecida Cucchiaro", "Chácaras Reunidas", "São José dos Campos", "SP", "12238501"
"Rua", "Maria Aparecida Martins", "Jardim Santa Rosa", "São José dos Campos", "SP", "12228896"
"Rua", "Maria Aparecida Veríssimo Madureira Ramos", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248380"
"Rua", "Maria Aparecida de Brito Moura", "Conjunto Residencial Esplanada do Sol", "São José dos Campos", "SP", "12244640"
"Rua", "Maria Aparecida de Faria", "Urbanova", "São José dos Campos", "SP", "12244270"
"Rua", "Maria Aparecida de Oliveira Braga", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247792"
"Rua", "Maria Aparecida de Oliveira Santos", "Residencial União", "São José dos Campos", "SP", "12239035"
"Rua", "Maria Aparecida do Carmo Silva", "Jardim Pararangaba", "São José dos Campos", "SP", "12224784"
"Rua", "Maria Asdente Rosin", "Jardim Satélite", "São José dos Campos", "SP", "12231814"
"Rua", "Maria Augusta Pereira dos Santos", "Cidade Morumbi", "São José dos Campos", "SP", "12236470"
"Rua", "Maria Auxiliadora Monção Antinópolis Bonafé", "Campos de São José", "São José dos Campos", "SP", "12226710"
"Rua", "Maria Benedita", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228314"
"Rua", "Maria Benedita Gama", "Jardim Santa Inês III", "São José dos Campos", "SP", "12248508"
"Rua", "Maria Carolina de Jesus", "Jardim Americano", "São José dos Campos", "SP", "12225100"
"Rua", "Maria Conceição da Cunha", "Alto da Ponte", "São José dos Campos", "SP", "12212520"
"Rua", "Maria Conceição da Silva", "Vila Paiva", "São José dos Campos", "SP", "12213503"
"Rua", "Maria Cristina Machado Guimarães", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232751"
"Avenida", "Maria Cândida Delgado", "Vila Cândida", "São José dos Campos", "SP", "12213531"
"Avenida", "Maria Cândida Delgado", "Jardim Santa Matilde", "São José dos Campos", "SP", "12213573"
"Rua", "Maria Cândida Leite de Castro", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248280"
"Travessa", "Maria Cândido Ferreira", "Freitas", "São José dos Campos", "SP", "12214461"
"Rua", "Maria Del Pilar Rozas Rozados Theodoro", "Jardim Nova República", "São José dos Campos", "SP", "12234882"
"Rua", "Maria Elizabeth Schicker", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246090"
"Rua", "Maria Fausta de Souza", "Jardim Boa Vista", "São José dos Campos", "SP", "12213700"
"Rua", "Maria Ferreira dos Santos", "Conjunto Residencial Elmano Veloso", "São José dos Campos", "SP", "12234570"
"Rua", "Maria Francisca Froes", "Jardim São Dimas", "São José dos Campos", "SP", "12245410"
"Rua", "Maria Francisca dos Santos", "Jardim Guimarães", "São José dos Campos", "SP", "12213130"
"Rua", "Maria Galvão de Paula", "Residencial Ribeira", "São José dos Campos", "SP", "12247359"
"Rua", "Maria Helena Ferreira", "Campo dos Alemães", "São José dos Campos", "SP", "12239067"
"Rua", "Maria Helena Friggi de Lima", "Parque Nova Esperança", "São José dos Campos", "SP", "12226082"
"Rua", "Maria Helena da Silva", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229833"
"Avenida", "Maria Hipólita de Souza", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228273"
"Rua", "Maria Isabel Mendes", "Jardim Nova Michigan", "São José dos Campos", "SP", "12225450"
"Rua", "Maria Isabel Pistilni Mendonça", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246052"
"Rua", "Maria Isabel da Silva", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247828"
"Rua", "Maria Izabel Mendes Gomes", "Condomínio Chácara Serimbura", "São José dos Campos", "SP", "12244012"
"Rua", "Maria José Amaral Alves", "Urbanova", "São José dos Campos", "SP", "12244861"
"Rua", "Maria José Gonçalves", "Jardim Del Rey", "São José dos Campos", "SP", "12232232"
"Rua", "Maria José Guido Brogliato Freire", "Urbanova", "São José dos Campos", "SP", "12244440"
"Rua", "Maria José Machado", "Vila Paiva", "São José dos Campos", "SP", "12213430"
"Rua", "Maria José Neme Calil", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237530"
"Rua", "Maria José Ribeiro", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228006"
"Rua", "Maria José Ricardo de Lima", "Condomínio Chácara Serimbura", "São José dos Campos", "SP", "12244008"
"Rua", "Maria Júlia Dias Veneziani", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226731"
"Rua", "Maria Lancini", "Campos de São José", "São José dos Campos", "SP", "12226350"
"Rua", "Maria Leda Sant'Ana de Faria Alvim", "Condomínio Residencial Montserrat", "São José dos Campos", "SP", "12244028"
"Rua", "Maria Lima Antunes Ribeiro", "Vila Ema", "São José dos Campos", "SP", "12243520"
"Rua", "Maria Luciana de Jesus", "Cidade Morumbi", "São José dos Campos", "SP", "12236801"
"Rua", "Maria Luiza Auricchio de Oliveira", "Residencial Juritis", "São José dos Campos", "SP", "12228261"
"Rua", "Maria Luiza Espírito Santo", "Santana", "São José dos Campos", "SP", "12211841"
"Rua", "Maria Luiza Rodrigues Costa", "Jardim Boa Vista", "São José dos Campos", "SP", "12213630"
"Rua", "Maria Luíza Rocha", "Parque Residencial Flamboyant", "São José dos Campos", "SP", "12227797"
"Rua", "Maria Madalena de Jesus", "Conjunto Papa João Paulo II", "São José dos Campos", "SP", "12232411"
"Rua", "Maria Marcelina dos Santos", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247822"
"Travessa", "Maria Marta", "Jardim Santa Matilde", "São José dos Campos", "SP", "12213590"
"Rua", "Maria Martins Ottoboni", "Campo dos Alemães", "São José dos Campos", "SP", "12239420"
"Rua", "Maria Mercedes Ferreira Maldos", "Monte Castelo", "São José dos Campos", "SP", "12215540"
"Rua", "Maria Montezi Santana", "Jardim Castanheira", "São José dos Campos", "SP", "12225320"
"Rua", "Maria Olímpia Rodrigues de Toledo", "Jardim São Leopoldo", "São José dos Campos", "SP", "12228220"
"Rua", "Maria Otília Araújo Lima de Oliveira", "Jardim Nova República", "São José dos Campos", "SP", "12234894"
"Rua", "Maria Palmira Ferreira Ivo", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233640"
"Rua", "Maria Pereira da Silva", "Residencial Dom Bosco", "São José dos Campos", "SP", "12225866"
"Rua", "Maria Pero Tinoco", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237100"
"Rua", "Maria Pinotti Bicudo", "Santana", "São José dos Campos", "SP", "12211820"
"Rua", "Maria Pires da Silva", "Vila das Flores", "São José dos Campos", "SP", "12234758"
"Travessa", "Maria Quitéria", "Jardim Esplanada", "São José dos Campos", "SP", "12242671"
"Rua", "Maria Renata Alcântara Manfredini", "Alto da Ponte", "São José dos Campos", "SP", "12212371"
"Rua", "Maria Ribeiro Martins", "Jardim Madureira", "São José dos Campos", "SP", "12232300"
"Rua", "Maria Rita de Pinho", "Residencial Ana Maria", "São José dos Campos", "SP", "12224818"
"Rua", "Maria Rosa da Silva", "Conjunto Residencial Elmano Veloso", "São José dos Campos", "SP", "12234630"
"Rua", "Maria Rosa de Oliveira Silva", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228311"
"Rua", "Maria Roseclair de Oliveira", "Campo dos Alemães", "São José dos Campos", "SP", "12239470"
"Rua", "Maria Sabino Angelo", "Campo dos Alemães", "São José dos Campos", "SP", "12239451"
"Rua", "Maria Salena de Assis", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224700"
"Rua", "Maria Tereza Cardoso Batista", "Jardim Colonial", "São José dos Campos", "SP", "12234460"
"Rua", "Maria Tereza Pereira Guedes de Melo", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237661"
"Rua", "Maria Vera Prado Machado", "Parque Interlagos", "São José dos Campos", "SP", "12229827"
"Rua", "Maria da Conceição Chaves Monteiro", "Urbanova", "São José dos Campos", "SP", "12244220"
"Rua", "Maria da Conceição Maia", "Vila Ester", "São José dos Campos", "SP", "12221650"
"Rua", "Maria da Glória Serpa Martins", "Urbanova", "São José dos Campos", "SP", "12244883"
"Rua", "Maria das Dores Rodrigues Monteiro", "Urbanova", "São José dos Campos", "SP", "12244874"
"Rua", "Maria das Dores Silva Cerqueira", "Campo dos Alemães", "São José dos Campos", "SP", "12239141"
"Rua", "Maria de Andrade Vieira", "Jardim Mariana II", "São José dos Campos", "SP", "12226884"
"Rua", "Maria de Caires Silveira", "Conjunto Residencial Esplanada do Sol", "São José dos Campos", "SP", "12244710"
"Rua", "Maria de Lourdes César Leite", "Eugênio de Mello", "São José dos Campos", "SP", "12247170"
"Rua", "Maria de Lourdes Damasceno Peres", "Campo dos Alemães", "São José dos Campos", "SP", "12239090"
"Rua", "Maria de Lourdes Florindo", "Loteamento Residencial Vista Linda", "São José dos Campos", "SP", "12220055"
"Avenida", "Maria de Lourdes Friggi", "Urbanova", "São José dos Campos", "SP", "12244882"
"Avenida", "Maria de Lourdes Medeiros de Assis", "Campo dos Alemães", "São José dos Campos", "SP", "12239580"
"Rua", "Maria de Lourdes Pereira", "Jardim Terras do Sul", "São José dos Campos", "SP", "12236069"
"Rua", "Maria de Lourdes de Andrade Coltro", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228014"
"Rua", "Maria de Lurdes Barbosa", "Conjunto Residencial Esplanada do Sol", "São José dos Campos", "SP", "12244690"
"Rua", "Maria de Souza", "Conjunto Residencial Nosso Teto", "São José dos Campos", "SP", "12228254"
"Rua", "Maria do Carmo de Miranda Castelo Branco", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237491"
"Rua", "Mariana", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233220"
"Avenida", "Mariana Andrade", "Jardim Mariana II", "São José dos Campos", "SP", "12226886"
"Rua", "Maricá", "Jardim Satélite", "São José dos Campos", "SP", "12230100"
"Rua", "Marina Bona Ferreira Honório", "Portal de Minas", "São José dos Campos", "SP", "12211147"
"Rua", "Mario Cordeiro", "Jardim Nova República", "São José dos Campos", "SP", "12234866"
"Rua", "Marlene Alves Rahal", "Condomínio Residencial Montserrat", "São José dos Campos", "SP", "12244025"
"Rua", "Marlene Aparecida de Jesus", "Jardim Imperial", "São José dos Campos", "SP", "12234007"
"Praça", "Marlene Baldez da Silva", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248305"
"Praça", "Marquês de Itu", "Condomínio Bosque Imperial", "São José dos Campos", "SP", "12242043"
"Rua", "Marquês de Maricá", "Jardim Colonial", "São José dos Campos", "SP", "12234400"
"Praça", "Marte", "Jardim da Granja", "São José dos Campos", "SP", "12227430"
"Rua", "Martim de Sá", "Jardim Satélite", "São José dos Campos", "SP", "12230690"
"Rua", "Martinica", "Cidade Vista Verde", "São José dos Campos", "SP", "12223290"
"Rua", "Martins Fontes", "Monte Castelo", "São José dos Campos", "SP", "12215280"
"Estrada Municipal", "Martins Guimarães", "Vila Tesouro", "São José dos Campos", "SP", "12221520"
"Rua", "Martins Pereira", "Monte Castelo", "São José dos Campos", "SP", "12215600"
"Rua", "Marx", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232530"
"Rua", "Marília", "Jardim Alvorada", "São José dos Campos", "SP", "12240660"
"Rua", "Massaguacu", "Jardim Satélite", "São José dos Campos", "SP", "12230650"
"Rua", "Mastruz", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226742"
"Travessa", "Mataripe", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238240"
"Rua", "Mathias Heil Filho", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237720"
"Rua", "Mathilde Neme Bagdad", "Jardim Nova Detroit", "São José dos Campos", "SP", "12224540"
"Rua", "Matias Peres", "Floradas de São José", "São José dos Campos", "SP", "12230082"
"Praça", "Matriz", "Eugênio de Mello", "São José dos Campos", "SP", "12247241"
"Rua", "Matsustoco Taira", "Jardim Limoeiro", "São José dos Campos", "SP", "12241280"
"Rua", "Matão", "Jardim das Indústrias", "São José dos Campos", "SP", "12240240"
"Rua", "Maues", "Parque Industrial", "São José dos Campos", "SP", "12235600"
